,t (s),w (m)
0,120.0,0.0013831775700934
1,130.0,0.0014018691588785
2,140.0,0.001411214953271
3,150.0,0.0014252336448598
4,160.0,0.0014392523364485
5,170.0,0.0014532710280373
6,180.0,0.0014626168224299
7,190.0,0.0014766355140186
8,200.0,0.0014906542056074
9,210.0,0.0015046728971962
10,220.0,0.0015093457943925
11,230.0,0.001518691588785
12,240.0,0.0015280373831775
13,250.0,0.00153738317757
14,260.0,0.0015467289719626
15,270.0,0.0015514018691588
16,280.0,0.0015560747663551
17,290.0,0.0015654205607476
18,300.0,0.0015747663551401
19,310.0,0.0015841121495327
20,320.0,0.0015887850467289
21,330.0,0.0015981308411214
22,340.0,0.001607476635514
