,t (s),w (m)
0,290.0,0.0017616822429906
1,300.0,0.0017803738317757
2,310.0,0.0017943925233644
3,320.0,0.0018084112149532
4,330.0,0.001822429906542
5,340.0,0.0018317757009345
6,350.0,0.0018411214953271
7,360.0,0.0018504672897196
8,370.0,0.0018644859813084
9,380.0,0.0018738317757009
10,390.0,0.0018831775700934
11,400.0,0.0018971962616822
12,410.0,0.001911214953271
13,420.0,0.0019205607476635
14,430.0,0.0019345794392523
15,440.0,0.0019439252336448
16,450.0,0.0019532710280373
17,460.0,0.0019672897196261
18,470.0,0.0019766355140186
19,480.0,0.0019906542056074
20,490.0,0.002
21,500.0,0.0020140186915887
22,510.0,0.0020280373831775
23,520.0,0.0020327102803738
24,530.0,0.0020467289719626
25,540.0,0.0020560747663551
26,550.0,0.0020700934579439
27,560.0,0.0020747663551401
28,570.0,0.0020887850467289
29,580.0,0.0020981308411214
30,590.0,0.0021028037383177
31,600.0,0.0021168224299065
32,610.0,0.002126168224299
33,620.0,0.0021401869158878
34,630.0,0.0021448598130841
35,640.0,0.0021588785046728
36,650.0,0.0021682242990654
37,660.0,0.0021775700934579
38,670.0,0.0021869158878504
39,680.0,0.0021962616822429
40,690.0,0.0022102803738317
41,700.0,0.002214953271028
42,710.0,0.0022289719626168
43,720.0,0.0022383177570093
44,730.0,0.0022523364485981
45,740.0,0.0022616822429906
46,750.0,0.0022663551401869
47,760.0,0.0022803738317757
48,770.0,0.0022850467289719
49,780.0,0.0022943925233644
50,790.0,0.0023084112149532
51,800.0,0.0023130841121495
52,810.0,0.002322429906542
53,820.0,0.0023317757009345
54,830.0,0.0023411214953271
55,840.0,0.0023504672897196
56,850.0,0.0023598130841121
57,860.0,0.0023691588785046
58,870.0,0.0023785046728971
