,t (s),w (m)
0,3.0,0.0007303370786516
1,3.0,0.0007359550561797
2,3.0,0.0007415730337078
3,3.0,0.0007471910112359
4,3.0,0.000752808988764
5,3.0,0.0007584269662921
6,3.0,0.0007640449438202
7,3.0,0.0007696629213483
8,4.0,0.0007696629213483
9,4.0,0.0007752808988764
10,4.0,0.0007808988764044
11,4.0,0.0007865168539325
12,4.0,0.0007921348314606
13,4.0,0.0007977528089887
14,4.0,0.0008033707865168
15,4.0,0.0008089887640449
16,4.0,0.000814606741573
17,5.0,0.000814606741573
18,5.0,0.0008202247191011
19,5.0,0.0008258426966292
20,5.0,0.0008314606741573
21,5.0,0.0008370786516853
22,5.0,0.0008426966292134
23,6.0,0.0008483146067415
24,6.0,0.0008539325842696
25,6.0,0.0008595505617977
26,6.0,0.0008651685393258
27,6.0,0.0008707865168539
28,6.0,0.000876404494382
29,7.0,0.000876404494382
30,7.0,0.0008820224719101
31,7.0,0.0008876404494382
32,7.0,0.0008932584269662
33,7.0,0.0008988764044943
34,8.0,0.0008988764044943
35,8.0,0.0009044943820224
36,8.0,0.0009101123595505
37,8.0,0.0009157303370786
38,9.0,0.0009213483146067
39,9.0,0.0009269662921348
40,9.0,0.0009325842696629
41,9.0,0.000938202247191
42,10.0,0.0009438202247191
43,10.0,0.0009494382022471
44,10.0,0.0009550561797752
45,11.0,0.0009550561797752
46,11.0,0.0009606741573033
47,11.0,0.0009662921348314
48,11.0,0.0009719101123595
49,12.0,0.0009775280898876
50,12.0,0.0009831460674157
51,12.0,0.0009887640449438
52,12.0,0.0009943820224719
53,13.0,0.0009943820224719
54,13.0,0.0009999999999999
55,13.0,0.001005617977528
56,13.0,0.0010112359550561
57,14.0,0.0010168539325842
58,14.0,0.0010224719101123
59,14.0,0.0010280898876404
60,14.0,0.0010337078651685
61,15.0,0.0010393258426966
62,15.0,0.0010449438202247
63,15.0,0.0010505617977528
64,15.0,0.0010561797752808
65,16.0,0.0010617977528089
66,16.0,0.001067415730337
67,17.0,0.001067415730337
68,17.0,0.0010730337078651
69,18.0,0.0010786516853932
70,18.0,0.0010842696629213
71,19.0,0.0010898876404494
72,19.0,0.0010955056179775
73,20.0,0.0011011235955056
74,20.0,0.0011067415730337
75,21.0,0.0011067415730337
76,21.0,0.0011123595505617
77,22.0,0.0011179775280898
78,22.0,0.0011235955056179
79,23.0,0.001129213483146
80,23.0,0.0011348314606741
81,24.0,0.0011404494382022
82,24.0,0.0011460674157303
83,25.0,0.0011516853932584
84,25.0,0.0011573033707865
85,26.0,0.0011629213483146
86,26.0,0.0011685393258426
87,27.0,0.0011685393258426
88,27.0,0.0011741573033707
89,28.0,0.0011797752808988
90,28.0,0.0011853932584269
91,29.0,0.001191011235955
92,29.0,0.0011966292134831
93,30.0,0.0012022471910112
94,30.0,0.0012078651685393
95,31.0,0.0012134831460674
96,31.0,0.0012191011235955
97,32.0,0.0012191011235955
98,32.0,0.0012247191011235
99,33.0,0.0012303370786516
100,33.0,0.0012359550561797
101,34.0,0.0012415730337078
102,35.0,0.0012471910112359
103,35.0,0.001252808988764
104,36.0,0.0012584269662921
105,37.0,0.0012640449438202
106,37.0,0.0012696629213483
107,38.0,0.0012752808988764
108,39.0,0.0012808988764044
109,39.0,0.0012865168539325
110,40.0,0.0012865168539325
111,41.0,0.0012921348314606
112,41.0,0.0012977528089887
113,42.0,0.0013033707865168
114,43.0,0.0013089887640449
115,44.0,0.001314606741573
116,45.0,0.0013202247191011
117,45.0,0.0013258426966292
118,46.0,0.0013314606741573
119,47.0,0.0013370786516853
120,48.0,0.0013426966292134
121,49.0,0.0013483146067415
122,50.0,0.0013539325842696
123,51.0,0.0013595505617977
124,52.0,0.0013651685393258
125,53.0,0.0013707865168539
126,54.0,0.001376404494382
127,54.0,0.0013820224719101
128,55.0,0.0013876404494382
129,56.0,0.0013932584269662
130,57.0,0.0013988764044943
131,58.0,0.0013988764044943
132,59.0,0.0014044943820224
