,t (s),w (m)
0,70.0,0.0017413793103448
1,70.0,0.001735632183908
2,70.0,0.0017298850574712
3,70.0,0.0017241379310344
4,70.0,0.0017183908045977
5,70.0,0.0017126436781609
6,70.0,0.0017068965517241
7,70.0,0.0017011494252873
8,70.0,0.0016954022988505
9,80.0,0.0017758620689655
10,80.0,0.0017701149425287
11,80.0,0.0017643678160919
12,80.0,0.0017586206896551
13,80.0,0.0017528735632183
14,80.0,0.0017471264367816
15,80.0,0.0017413793103448
16,90.0,0.0017988505747126
17,90.0,0.0017931034482758
18,90.0,0.001787356321839
19,90.0,0.0017816091954022
20,90.0,0.0017758620689655
21,100.0,0.0018275862068965
22,100.0,0.0018218390804597
23,100.0,0.0018160919540229
24,100.0,0.0018103448275862
25,100.0,0.0018045977011494
26,100.0,0.0017988505747126
27,110.0,0.0018563218390804
28,110.0,0.0018505747126436
29,110.0,0.0018448275862068
30,110.0,0.0018390804597701
31,110.0,0.0018333333333333
32,120.0,0.0018793103448275
33,120.0,0.0018735632183908
34,120.0,0.001867816091954
35,120.0,0.0018620689655172
36,120.0,0.0018563218390804
37,130.0,0.0019022988505747
38,130.0,0.0018965517241379
39,130.0,0.0018908045977011
40,130.0,0.0018850574712643
41,130.0,0.0018793103448275
42,140.0,0.0019252873563218
43,140.0,0.001919540229885
44,140.0,0.0019137931034482
45,140.0,0.0019080459770114
