,t (s),w (m)
0,6.0,0.0010263157894736
1,6.0,0.0010210526315789
2,6.0,0.0010157894736842
3,6.0,0.0010105263157894
4,6.0,0.0010052631578947
5,6.0,0.001
6,6.0,0.0009947368421052
7,6.0,0.0009894736842105
8,6.0,0.0009842105263157
9,6.0,0.000978947368421
10,6.0,0.0009736842105263
11,6.0,0.0009684210526315
12,6.0,0.0009631578947368
13,6.0,0.0009578947368421
14,6.0,0.0009526315789473
15,6.0,0.0009473684210526
16,6.0,0.0009421052631578
17,6.0,0.0009368421052631
18,6.0,0.0010315789473684
19,6.0,0.0010263157894736
20,6.0,0.0010210526315789
21,6.0,0.0010157894736842
22,6.0,0.0010105263157894
23,6.0,0.0010052631578947
24,6.0,0.001
25,6.0,0.0009947368421052
26,6.0,0.0009894736842105
27,6.0,0.0009842105263157
28,6.0,0.000978947368421
29,6.0,0.0009736842105263
30,6.0,0.0009684210526315
31,6.0,0.0009631578947368
32,6.0,0.0009578947368421
33,6.0,0.0009526315789473
34,6.0,0.0009473684210526
35,6.0,0.0009421052631578
36,6.0,0.0010368421052631
37,6.0,0.0010315789473684
38,6.0,0.0010263157894736
39,6.0,0.0010210526315789
40,6.0,0.0010157894736842
41,6.0,0.0010105263157894
42,6.0,0.0010052631578947
43,6.0,0.001
44,6.0,0.0009947368421052
45,6.0,0.0009894736842105
46,6.0,0.0009842105263157
47,6.0,0.000978947368421
48,6.0,0.0009736842105263
49,6.0,0.0009684210526315
50,6.0,0.0009631578947368
51,6.0,0.0009578947368421
52,6.0,0.0009526315789473
53,6.0,0.0009473684210526
54,6.0,0.0010421052631578
55,6.0,0.0010368421052631
56,6.0,0.0010315789473684
57,6.0,0.0010263157894736
58,6.0,0.0010210526315789
59,6.0,0.0010157894736842
60,6.0,0.0010105263157894
61,6.0,0.0010052631578947
62,6.0,0.001
63,6.0,0.0009947368421052
64,6.0,0.0009894736842105
65,6.0,0.0009842105263157
66,6.0,0.000978947368421
67,6.0,0.0009736842105263
68,6.0,0.0009684210526315
69,6.0,0.0009631578947368
70,6.0,0.0009578947368421
71,6.0,0.0009526315789473
72,6.0,0.0010473684210526
73,6.0,0.0010421052631578
74,6.0,0.0010368421052631
75,6.0,0.0010315789473684
76,6.0,0.0010263157894736
77,6.0,0.0010210526315789
78,6.0,0.0010157894736842
79,6.0,0.0010105263157894
80,6.0,0.0010052631578947
81,6.0,0.001
82,6.0,0.0009947368421052
83,6.0,0.0009894736842105
84,6.0,0.0009842105263157
85,6.0,0.000978947368421
86,6.0,0.0009736842105263
87,6.0,0.0009684210526315
88,6.0,0.0009631578947368
89,6.0,0.0009578947368421
90,6.0,0.0010526315789473
91,6.0,0.0010473684210526
92,6.0,0.0010421052631578
93,6.0,0.0010368421052631
94,6.0,0.0010315789473684
95,6.0,0.0010263157894736
96,6.0,0.0010210526315789
97,6.0,0.0010157894736842
98,6.0,0.0010105263157894
99,6.0,0.0010052631578947
100,6.0,0.001
101,6.0,0.0009947368421052
102,6.0,0.0009894736842105
103,6.0,0.0009842105263157
104,6.0,0.000978947368421
105,6.0,0.0009736842105263
106,6.0,0.0009684210526315
107,6.0,0.0009631578947368
108,6.0,0.0010578947368421
109,6.0,0.0010526315789473
110,6.0,0.0010473684210526
111,6.0,0.0010421052631578
112,6.0,0.0010368421052631
113,6.0,0.0010315789473684
114,6.0,0.0010263157894736
115,6.0,0.0010210526315789
116,6.0,0.0010157894736842
117,6.0,0.0010105263157894
118,6.0,0.0010052631578947
119,6.0,0.001
120,6.0,0.0009947368421052
121,6.0,0.0009894736842105
122,6.0,0.0009842105263157
123,6.0,0.000978947368421
124,6.0,0.0009736842105263
125,6.0,0.0009684210526315
126,8.0,0.0010684210526315
127,8.0,0.0010631578947368
128,8.0,0.0010578947368421
129,8.0,0.0010526315789473
130,8.0,0.0010473684210526
131,8.0,0.0010421052631578
132,8.0,0.0010368421052631
133,8.0,0.0010315789473684
134,8.0,0.0010263157894736
135,8.0,0.0010210526315789
136,8.0,0.0010157894736842
137,8.0,0.0010105263157894
138,8.0,0.0010052631578947
139,8.0,0.001
140,8.0,0.0009947368421052
141,8.0,0.0010736842105263
142,8.0,0.0010684210526315
143,8.0,0.0010631578947368
144,8.0,0.0010578947368421
145,8.0,0.0010526315789473
146,8.0,0.0010473684210526
147,8.0,0.0010421052631578
148,8.0,0.0010368421052631
149,8.0,0.0010315789473684
150,8.0,0.0010263157894736
151,8.0,0.0010210526315789
152,8.0,0.0010157894736842
153,8.0,0.0010105263157894
154,8.0,0.0010052631578947
155,8.0,0.001
156,8.0,0.001078947368421
157,8.0,0.0010736842105263
158,8.0,0.0010684210526315
159,8.0,0.0010631578947368
160,8.0,0.0010578947368421
161,8.0,0.0010526315789473
162,8.0,0.0010473684210526
163,8.0,0.0010421052631578
164,8.0,0.0010368421052631
165,8.0,0.0010315789473684
166,8.0,0.0010263157894736
167,8.0,0.0010210526315789
168,8.0,0.0010157894736842
169,8.0,0.0010105263157894
170,8.0,0.0010052631578947
171,8.0,0.0010842105263157
172,8.0,0.001078947368421
173,8.0,0.0010736842105263
174,8.0,0.0010684210526315
175,8.0,0.0010631578947368
176,8.0,0.0010578947368421
177,8.0,0.0010526315789473
178,8.0,0.0010473684210526
179,8.0,0.0010421052631578
180,8.0,0.0010368421052631
181,8.0,0.0010315789473684
182,8.0,0.0010263157894736
183,8.0,0.0010210526315789
184,8.0,0.0010157894736842
185,8.0,0.0010105263157894
186,8.0,0.0010894736842105
187,8.0,0.0010842105263157
188,8.0,0.001078947368421
189,8.0,0.0010736842105263
190,8.0,0.0010684210526315
191,8.0,0.0010631578947368
192,8.0,0.0010578947368421
193,8.0,0.0010526315789473
194,8.0,0.0010473684210526
195,8.0,0.0010421052631578
196,8.0,0.0010368421052631
197,8.0,0.0010315789473684
198,8.0,0.0010263157894736
199,8.0,0.0010210526315789
200,8.0,0.0010157894736842
201,8.0,0.0010947368421052
202,8.0,0.0010894736842105
203,8.0,0.0010842105263157
204,8.0,0.001078947368421
205,8.0,0.0010736842105263
206,8.0,0.0010684210526315
207,8.0,0.0010631578947368
208,8.0,0.0010578947368421
209,8.0,0.0010526315789473
210,8.0,0.0010473684210526
211,8.0,0.0010421052631578
212,8.0,0.0010368421052631
213,8.0,0.0010315789473684
214,8.0,0.0010263157894736
215,8.0,0.0010210526315789
216,8.0,0.0010999999999999
217,8.0,0.0010947368421052
218,8.0,0.0010894736842105
219,8.0,0.0010842105263157
220,8.0,0.001078947368421
221,8.0,0.0010736842105263
222,8.0,0.0010684210526315
223,8.0,0.0010631578947368
224,8.0,0.0010578947368421
225,8.0,0.0010526315789473
226,8.0,0.0010473684210526
227,8.0,0.0010421052631578
228,8.0,0.0010368421052631
229,8.0,0.0010315789473684
230,8.0,0.0010263157894736
231,10.0,0.0011263157894736
232,10.0,0.0011210526315789
233,10.0,0.0011157894736842
234,10.0,0.0011105263157894
235,10.0,0.0011052631578947
236,10.0,0.0011
237,10.0,0.0010947368421052
238,10.0,0.0010894736842105
239,10.0,0.0010842105263157
240,10.0,0.001078947368421
241,10.0,0.0010736842105263
242,10.0,0.0010684210526315
243,10.0,0.0010631578947368
244,10.0,0.0010578947368421
245,10.0,0.0010526315789473
246,10.0,0.0011315789473684
247,10.0,0.0011263157894736
248,10.0,0.0011210526315789
249,10.0,0.0011157894736842
250,10.0,0.0011105263157894
251,10.0,0.0011052631578947
252,10.0,0.0010999999999999
253,10.0,0.0010947368421052
254,10.0,0.0010894736842105
255,10.0,0.0010842105263157
256,10.0,0.001078947368421
257,10.0,0.0010736842105263
258,10.0,0.0010684210526315
259,10.0,0.0010631578947368
260,10.0,0.0010578947368421
261,10.0,0.0011368421052631
262,10.0,0.0011315789473684
263,10.0,0.0011263157894736
264,10.0,0.0011210526315789
265,10.0,0.0011157894736842
266,10.0,0.0011105263157894
267,10.0,0.0011052631578947
268,10.0,0.0011
269,10.0,0.0010947368421052
