,t (s),w (m)
0,30.0,0.0015529411764705
1,30.0,0.0015470588235294
2,30.0,0.0015411764705882
3,30.0,0.001535294117647
4,30.0,0.0015588235294117
5,30.0,0.0015529411764705
6,30.0,0.0015470588235294
7,30.0,0.0015411764705882
8,30.0,0.0015647058823529
9,30.0,0.0015588235294117
10,30.0,0.0015529411764705
11,30.0,0.0015470588235294
12,40.0,0.0016823529411764
13,40.0,0.0016764705882352
14,40.0,0.0016705882352941
15,40.0,0.0016647058823529
16,40.0,0.0016588235294117
17,40.0,0.0016529411764705
18,40.0,0.0016470588235294
19,40.0,0.0016411764705882
20,40.0,0.001635294117647
21,40.0,0.0016294117647058
22,40.0,0.0016235294117647
23,40.0,0.0016176470588235
24,40.0,0.0016117647058823
25,40.0,0.0016058823529411
26,40.0,0.0016
27,40.0,0.0015941176470588
28,40.0,0.0015882352941176
29,40.0,0.0015823529411764
30,40.0,0.0015764705882352
31,40.0,0.0015705882352941
32,40.0,0.0015647058823529
33,40.0,0.0015588235294117
34,40.0,0.0015529411764705
35,50.0,0.0017647058823529
36,50.0,0.0017588235294117
37,50.0,0.0017529411764705
38,50.0,0.0017470588235294
39,50.0,0.0017411764705882
40,50.0,0.001735294117647
41,50.0,0.0017294117647058
42,50.0,0.0017235294117647
43,50.0,0.0017176470588235
44,50.0,0.0017117647058823
45,50.0,0.0017058823529411
46,50.0,0.0017
47,50.0,0.0016941176470588
48,50.0,0.0016882352941176
49,50.0,0.0016823529411764
50,60.0,0.0018411764705882
51,60.0,0.001835294117647
52,60.0,0.0018294117647058
53,60.0,0.0018235294117647
54,60.0,0.0018176470588235
55,60.0,0.0018117647058823
56,60.0,0.0018058823529411
57,60.0,0.0018
58,60.0,0.0017941176470588
59,60.0,0.0017882352941176
60,60.0,0.0017823529411764
61,60.0,0.0017764705882352
62,60.0,0.0017705882352941
63,60.0,0.0017647058823529
64,70.0,0.0019
65,70.0,0.0018941176470588
66,70.0,0.0018882352941176
67,70.0,0.0018823529411764
68,70.0,0.0018764705882352
69,70.0,0.0018705882352941
70,70.0,0.0018647058823529
71,70.0,0.0018588235294117
72,70.0,0.0018529411764705
73,70.0,0.0018470588235294
74,70.0,0.0018411764705882
75,80.0,0.0019529411764705
76,80.0,0.0019470588235294
77,80.0,0.0019411764705882
78,80.0,0.001935294117647
79,80.0,0.0019294117647058
80,80.0,0.0019235294117647
81,80.0,0.0019176470588235
82,80.0,0.0019117647058823
83,80.0,0.0019058823529411
84,80.0,0.0019
85,80.0,0.0018941176470588
86,80.0,0.0019588235294117
87,80.0,0.0019529411764705
88,80.0,0.0019470588235294
89,80.0,0.0019411764705882
90,80.0,0.001935294117647
91,80.0,0.0019294117647058
92,80.0,0.0019235294117647
93,80.0,0.0019176470588235
94,80.0,0.0019117647058823
95,80.0,0.0019058823529411
96,80.0,0.0019
97,90.0,0.0020058823529411
98,90.0,0.002
99,90.0,0.0019941176470588
100,90.0,0.0019882352941176
101,90.0,0.0019823529411764
102,90.0,0.0019764705882352
103,90.0,0.0019705882352941
104,90.0,0.0019647058823529
105,90.0,0.0019588235294117
106,90.0,0.0019529411764705
107,100.0,0.0020647058823529
108,100.0,0.0020588235294117
109,100.0,0.0020529411764705
110,100.0,0.0020470588235294
111,100.0,0.0020411764705882
112,100.0,0.002035294117647
113,100.0,0.0020294117647058
114,100.0,0.0020235294117647
115,100.0,0.0020176470588235
116,100.0,0.0020117647058823
117,110.0,0.0021176470588235
118,110.0,0.0021117647058823
119,110.0,0.0021058823529411
120,110.0,0.0021
121,110.0,0.0020941176470588
122,110.0,0.0020882352941176
123,110.0,0.0020823529411764
124,110.0,0.0020764705882352
125,110.0,0.0020705882352941
126,110.0,0.0020647058823529
127,120.0,0.0021705882352941
128,120.0,0.0021647058823529
129,120.0,0.0021588235294117
130,120.0,0.0021529411764705
131,120.0,0.0021470588235294
132,120.0,0.0021411764705882
133,120.0,0.002135294117647
134,120.0,0.0021294117647058
